date_report,confirmed
4/30/2020,4323254
3/6/2020,101296
4/27/2020,4009343
2/2/2020,16789
2/1/2020,12040
1/23/2020,653
4/26/2020,3918264
4/12/2020,2389131
3/4/2020,94502
2/29/2020,85314
1/25/2020,1434
3/30/2020,943181
3/3/2020,92191
2/4/2020,23895
4/1/2020,1144704
3/21/2020,329468
2/22/2020,77937
3/26/2020,612532
3/5/2020,97336
4/4/2020,1483469
3/9/2020,113368
1/29/2020,6169
2/9/2020,40084
5/2/2020,4556458
2/17/2020,72801
2/12/2020,45043
1/28/2020,5581
3/16/2020,185141
4/21/2020,3354147
4/25/2020,3816758
3/22/2020,369820
4/8/2020,1907564
3/19/2020,255911
2/23/2020,78266
2/8/2020,37057
3/23/2020,421095
2/21/2020,76184
3/14/2020,158213
4/20/2020,3249571
3/13/2020,146612
4/5/2020,1585286
2/26/2020,80682
3/25/2020,532623
4/19/2020,3153325
3/11/2020,126235
3/2/2020,89638
4/13/2020,2484051
4/17/2020,2937431
4/28/2020,4107162
3/20/2020,290843
1/26/2020,2121
1/31/2020,9932
2/6/2020,30795
2/20/2020,75560
2/5/2020,27638
2/13/2020,60190
3/15/2020,169622
2/28/2020,83407
2/3/2020,19884
3/7/2020,105459
2/14/2020,66664
2/15/2020,68742
4/24/2020,3698763
4/22/2020,3457793
4/23/2020,3575481
2/7/2020,34331
3/12/2020,129163
2/25/2020,79714
4/11/2020,2261094
3/28/2020,781214
4/3/2020,1370013
4/16/2020,2817552
5/3/2020,4661306
3/29/2020,860094
5/1/2020,4444099
1/27/2020,2930
2/18/2020,74591
1/30/2020,8237
4/6/2020,1686473
1/22/2020,555
3/1/2020,87678
3/17/2020,202433
4/29/2020,4209383
3/31/2020,1044626
2/10/2020,42624
2/27/2020,82041
4/10/2020,2153147
4/2/2020,1255870
3/24/2020,470953
4/15/2020,2689953
3/18/2020,222930
3/10/2020,118590
2/11/2020,44664
1/24/2020,941
2/19/2020,75015
4/18/2020,3043234
3/27/2020,694051
4/7/2020,1792277
3/8/2020,109535
4/14/2020,2581426
2/24/2020,78869
5/4/2020,4821882
4/9/2020,2027021
2/16/2020,70866
